state_id,state_name,tag,multiplier_raw,multiplier_after_clamp_example
S_CAR_BROKEN,车坏了,social,1.0,1.0
S_CAR_BROKEN,车坏了,admin,1.0,1.0
S_CAR_BROKEN,车坏了,car,1.8,1.55
S_CAR_BROKEN,车坏了,money,1.0,1.0
S_SOCIAL_ISOLATION,社交断联,job,1.0,1.0
S_SOCIAL_ISOLATION,社交断联,debt,1.0,1.0
S_SOCIAL_ISOLATION,社交断联,housing,1.0,1.0
S_SOCIAL_ISOLATION,社交断联,health,1.1,1.1
S_SOCIAL_ISOLATION,社交断联,social,1.45,1.45
S_SOCIAL_ISOLATION,社交断联,admin,1.0,1.0
S_SOCIAL_ISOLATION,社交断联,car,1.0,1.0
S_SOCIAL_ISOLATION,社交断联,money,1.0,1.0
S_WINDFALL_BUFFER,小额缓冲,job,1.0,1.0
S_WINDFALL_BUFFER,小额缓冲,debt,0.88,0.88
S_WINDFALL_BUFFER,小额缓冲,housing,0.92,0.92
S_WINDFALL_BUFFER,小额缓冲,health,1.0,1.0
S_WINDFALL_BUFFER,小额缓冲,social,1.0,1.0
S_WINDFALL_BUFFER,小额缓冲,admin,1.0,1.0
S_WINDFALL_BUFFER,小额缓冲,car,1.0,1.0
S_WINDFALL_BUFFER,小额缓冲,money,1.12,1.12
S_RENT_DUE,房租待缴,job,1.0,1.0
S_RENT_DUE,房租待缴,debt,1.0,1.0
S_RENT_DUE,房租待缴,housing,2.2,1.55
S_RENT_DUE,房租待缴,health,1.0,1.0
S_RENT_DUE,房租待缴,social,1.0,1.0
S_RENT_DUE,房租待缴,admin,1.0,1.0
S_RENT_DUE,房租待缴,car,1.0,1.0
S_RENT_DUE,房租待缴,money,1.0,1.0
S_TAX_DUE,税务待缴,job,1.0,1.0
S_TAX_DUE,税务待缴,debt,1.0,1.0
S_TAX_DUE,税务待缴,housing,1.0,1.0
S_TAX_DUE,税务待缴,health,1.0,1.0
S_TAX_DUE,税务待缴,social,1.0,1.0
S_TAX_DUE,税务待缴,admin,2.0,1.55
S_TAX_DUE,税务待缴,car,1.0,1.0
S_TAX_DUE,税务待缴,money,1.0,1.0
S_TRAFFIC_TICKET,交通罚单未缴,job,1.0,1.0
S_TRAFFIC_TICKET,交通罚单未缴,debt,1.0,1.0
S_TRAFFIC_TICKET,交通罚单未缴,housing,1.0,1.0
S_TRAFFIC_TICKET,交通罚单未缴,health,1.0,1.0
S_TRAFFIC_TICKET,交通罚单未缴,social,1.0,1.0
S_TRAFFIC_TICKET,交通罚单未缴,admin,1.15,1.15
S_TRAFFIC_TICKET,交通罚单未缴,car,1.6,1.55
S_TRAFFIC_TICKET,交通罚单未缴,money,1.0,1.0
S_COLLECTIONS_NOTICE,催收通知,job,1.0,1.0
S_COLLECTIONS_NOTICE,催收通知,debt,1.4,1.4
S_COLLECTIONS_NOTICE,催收通知,housing,1.0,1.0
S_COLLECTIONS_NOTICE,催收通知,health,1.0,1.0
S_COLLECTIONS_NOTICE,催收通知,social,1.0,1.0
S_COLLECTIONS_NOTICE,催收通知,admin,1.2,1.2
S_COLLECTIONS_NOTICE,催收通知,car,1.0,1.0
S_COLLECTIONS_NOTICE,催收通知,money,1.0,1.0
